,Gads_true,Gads_pred,Cadsb_true,Cadsb_pred,Csite_true,Csite_pred
0,2.6112716,2.607483,2,2,0,0
1,-0.38871878,-0.37030053,6,6,1,1
2,-1.6244671,-1.6139078,4,4,1,1
3,0.24704169,0.41609025,3,3,2,2
4,-0.22757962,-0.034004003,3,3,2,2
5,0.9140413,0.9325433,3,3,2,2
6,-1.6829975,-1.6778368,4,4,1,1
7,-1.200803,-1.1618593,4,4,1,1
8,-0.20979077,-0.24444975,4,4,1,1
9,-0.46621674,-0.4633804,0,0,0,0
10,1.4292496,1.4017429,3,3,1,1
11,0.12522188,0.14101358,3,3,2,2
12,-0.52115744,-0.48562533,6,6,1,1
13,-0.4649387,-0.41881657,0,0,0,0
14,-1.160537,-1.1787375,5,5,0,0
15,0.10256403,0.09651011,1,1,2,2
16,-0.48744795,-0.416783,3,3,2,2
17,0.4312678,0.39883214,0,0,0,0
18,-0.5489881,-0.50242054,6,6,1,1
19,-0.4157276,-0.44395557,1,1,2,2
20,-1.9402652,-1.9511712,4,4,1,1
21,-0.28652203,-0.2702108,6,6,1,1
22,-0.22108974,-0.15987594,0,0,0,0
23,-1.4751321,-1.4186387,5,5,0,0
24,-1.3757725,-1.355719,4,4,1,1
25,-0.13255231,-0.11694831,3,3,1,1
26,0.091444425,0.06403245,3,3,1,1
27,0.7339821,0.69482327,3,3,1,1
28,1.4050254,1.4234593,2,2,0,0
29,-1.5789778,-1.5626092,4,4,1,1
30,0.08422154,0.004211705,0,0,0,0
31,0.121019,0.13683307,3,3,1,1
32,-0.3042801,-0.3113997,3,3,1,1
33,-0.100690134,-0.10051982,6,6,1,1
34,0.31791297,0.3633864,3,3,2,2
35,-0.39404193,-0.42434672,6,6,1,1
36,0.6620758,0.70090723,1,1,2,2
37,1.0400039,1.0855334,2,2,0,0
38,-0.44777885,-0.37630904,3,3,2,2
39,-0.80065274,-0.842008,3,3,2,2
40,-1.096038,-1.0840336,3,3,2,2
41,-0.77002984,-0.82360524,6,6,1,1
42,-0.21960793,-0.26387072,6,6,1,1
43,-1.2095582,-1.1901708,5,5,0,0
44,0.10643004,0.16504318,1,1,2,2
45,-1.064677,-1.040162,3,3,2,2
46,-0.93529046,-0.8516151,5,5,0,0
47,-0.79824567,-0.7810252,1,1,2,2
48,0.31720623,0.35083106,3,3,2,2
49,-1.737009,-1.7290813,4,4,1,1
50,-1.0122427,-0.97889656,5,5,0,0
51,2.609904,2.6514802,2,2,0,0
52,-0.26735705,-0.21177503,3,3,1,1
53,-0.5383337,-0.58175457,3,3,1,1
54,0.33143184,0.31143647,0,0,0,0
55,-0.38255778,-0.4833153,6,6,1,1
56,-1.3291479,-1.2688926,4,4,1,1
57,-0.42567262,-0.44513962,6,6,1,1
58,1.1095726,1.0824044,2,2,0,0
59,-0.2381276,-0.20124787,0,0,0,0
60,-0.4353233,-0.439318,6,6,1,1
61,-0.005741505,0.005239114,3,3,2,2
62,-1.9663442,-1.9171424,4,4,1,1
63,-0.4779817,-0.5033777,6,6,1,1
64,-1.5903786,-1.520635,5,5,0,0
65,-0.5995457,-0.5870848,6,6,1,1
66,-0.38500756,-0.29443485,3,3,2,2
67,-0.34534973,-0.35851568,6,6,1,1
68,-0.3448249,-0.35524583,6,6,1,1
69,-0.14975421,-0.14850655,6,6,1,1
70,-0.2780328,-0.27409533,6,6,1,1
71,1.8743241,1.968775,2,2,0,0
72,-0.72962564,-0.7250289,4,4,1,1
73,0.08877224,0.0845826,3,3,1,1
74,0.4378498,0.49575466,3,3,1,1
75,-1.4362174,-1.3242314,4,4,1,1
76,-0.31156474,-0.18349011,0,0,0,0
77,0.7137611,0.67744964,3,3,1,1
78,-0.68875223,-0.69541675,6,6,1,1
79,0.03603595,0.06039141,1,1,2,2
80,-0.36604577,-0.3607495,0,0,0,0
81,-1.1163324,-1.088883,4,4,1,1
82,-1.0291469,-0.96418935,4,4,1,1
83,-0.9286454,-0.93498284,5,5,0,0
84,-2.2686877,-2.0909443,4,4,1,1
85,-0.5863625,-0.5649381,1,1,2,2
86,-1.1171765,-1.1085919,5,5,0,0
87,0.06728289,0.11325618,1,1,2,2
88,-1.4358919,-1.5132701,4,4,1,1
89,-0.5040204,-0.45551455,0,0,0,0
90,-0.77619886,-0.7600689,1,1,2,2
91,-0.6335142,-0.62385595,1,1,2,2
92,-0.07194056,-0.12946084,1,1,2,2
93,-1.6545283,-1.6258919,4,4,1,1
94,2.4780397,2.5898674,2,2,0,0
95,0.44578078,0.264019,1,1,2,2
96,-1.9355662,-1.9317292,4,4,1,1
97,-0.16718885,-0.11733146,0,0,0,0
98,-0.011033735,-0.012451433,3,3,2,2
99,-0.5897428,-0.56041104,6,6,1,1
100,-0.2797852,-0.28621352,6,6,1,1
101,-0.8049633,-0.86128557,5,5,0,0
102,-0.1826734,-0.14901271,3,3,1,1
103,0.3865396,0.41405433,3,3,2,2
104,-0.13918059,-0.13857752,6,6,1,1
105,-1.1282356,-1.1460061,4,4,1,1
106,0.100189395,0.094688326,3,3,2,2
107,-0.36730903,-0.42064536,6,6,1,1
108,-1.5706396,-1.496182,4,4,1,1
109,-1.283754,-1.3269094,4,4,1,1
110,-1.0504072,-1.0331343,5,5,0,0
111,-1.0786599,-1.0855037,5,5,0,0
112,-0.65815955,-0.61035395,6,6,1,1
113,-0.5091064,-0.46912664,6,6,1,1
114,-1.5914665,-1.6262335,4,4,1,1
115,-0.484763,-0.44626212,0,0,0,0
116,-1.5659477,-1.5623779,4,4,1,1
117,-1.1286038,-1.1486661,5,5,0,0
118,0.4297015,0.42539003,0,0,0,0
119,-0.13777843,-0.112698585,1,1,2,2
120,-0.44557637,-0.42608875,6,6,1,1
121,-0.53449506,-0.5483675,6,6,1,1
122,-0.64445,-0.68627346,6,6,1,1
123,0.19031785,0.21091214,3,3,2,2
124,-1.6011163,-1.566963,5,5,0,0
125,0.3311168,0.32212782,3,3,1,1
126,-1.2023121,-1.2022913,5,5,0,0
127,-0.27882728,-0.26074445,3,3,1,1
128,-0.45043546,-0.4137346,0,0,0,0
129,-0.44747177,-0.40537375,6,6,1,1
130,-0.9058318,-0.8709643,4,4,1,1
131,0.97002,1.0151576,2,2,0,0
132,0.45788175,0.460363,3,3,2,2
133,-1.0284501,-0.9781453,5,5,0,0
134,-0.8978537,-0.81127715,4,4,1,1
135,-1.8749435,-1.8424973,4,4,1,1
136,-1.2507875,-1.2823033,5,5,0,0
137,-0.39317447,-0.34064817,6,6,1,1
138,-1.0380933,-1.1268115,3,3,2,2
139,1.0265592,1.0222255,3,3,1,1
140,-0.19697557,-0.20237185,0,0,0,0
141,-0.0937231,-0.11617181,6,6,1,1
142,-1.3279729,-1.2727298,5,5,0,0
143,0.5987608,0.58335185,3,3,1,1
144,-1.1604677,-1.3755702,5,5,0,0
145,-1.7131617,-1.6513275,4,4,1,1
146,-1.6458272,-1.6674455,4,4,1,1
147,-1.6431872,-1.6168306,4,4,1,1
148,-0.11019508,-0.057855226,0,0,0,0
149,-0.68658185,-0.7949971,4,4,1,1
150,-0.42816147,-0.54338634,6,6,1,1
151,-0.16869164,-0.16149192,3,3,2,2
152,-0.47463384,-0.43934357,0,0,0,0
153,-1.2523844,-1.2735568,4,4,1,1
154,0.114461236,0.24913296,3,3,2,2
155,-1.2603341,-1.2339435,5,5,0,0
156,0.8628616,0.88350236,2,2,0,0
157,-0.7530981,-0.6249309,3,3,2,2
158,-1.0076929,-0.9487531,5,5,0,0
159,-0.26785994,-0.285415,1,1,2,2
160,0.29200748,0.31129092,3,3,2,2
161,-0.34474996,-0.21760082,1,1,2,2
162,-1.5682129,-1.5360389,5,5,0,0
163,0.27320296,0.36208212,0,0,0,0
164,-1.0689588,-1.0360436,5,5,0,0
165,-0.41400173,-0.39034665,6,6,1,1
166,-0.14668831,-0.17347297,0,0,0,0
167,-1.2468514,-1.3282255,4,4,1,1
168,-0.43728852,-0.5208882,3,3,1,1
169,-0.3919956,-0.37535378,6,6,1,1
170,-1.7522942,-1.7868414,4,4,1,1
171,-0.6014652,-0.55890495,0,0,0,0
172,-0.36976823,-0.31486538,0,0,0,0
173,-1.269857,-1.2918254,5,5,0,0
174,2.4768999,2.569303,2,2,0,0
175,0.44680423,0.38618135,3,3,1,1
176,-0.9746294,-1.0109402,4,4,1,1
177,-1.1620611,-1.1722167,5,5,0,0
178,-1.1765718,-1.1268039,4,4,1,1
179,-0.3329957,-0.37183982,6,6,1,1
180,-1.5189388,-1.5113106,5,5,0,0
181,-0.3475925,-0.3455782,0,0,0,0
182,0.5614566,0.5114424,3,3,1,1
183,-1.5286807,-1.4740889,5,5,0,0
184,-0.16547644,-0.116788715,3,3,2,2
185,0.043282203,0.06491156,3,3,2,2
186,-0.5954255,-0.6110604,3,3,2,2
187,0.32249895,0.3517869,0,0,0,0
188,-1.1494079,-1.0787858,4,4,1,1
189,-1.1405292,-1.1502109,5,5,0,0
190,-0.45967135,-0.48243767,6,6,1,1
191,-1.4444336,-1.4368137,5,5,0,0
192,1.5161607,1.3273662,2,2,0,0
193,-1.443201,-1.4630753,5,5,0,0
194,-0.30402097,-0.3131899,0,0,0,0
195,-1.4771098,-1.6145487,3,3,2,2
196,0.6917265,0.6649918,1,1,2,2
197,0.5729111,0.3857229,3,3,2,2
198,-0.5625071,-0.5601791,6,6,1,1
199,0.40867096,0.4164117,0,0,0,0
200,0.19825593,0.12710544,3,3,1,1
201,-0.56032413,-0.59735644,6,6,1,1
202,-0.29537448,-0.30560404,0,0,0,0
203,-0.28534526,-0.28414842,0,0,0,0
204,0.95314646,0.93796456,2,2,0,0
205,0.7206409,0.7053882,3,3,1,1
206,-1.4739307,-1.4469436,4,4,1,1
207,0.3564729,0.34166485,0,0,0,0
208,-0.25611138,-0.27278486,6,6,1,1
209,-0.00728828,-0.04706719,0,0,0,0
210,0.4187043,0.11883842,1,1,2,2
211,-0.50102884,-0.4604783,6,6,1,1
212,-0.08727305,-0.0856259,0,0,0,0
213,2.0313163,1.9920835,2,2,0,0
214,0.09832059,0.1279499,3,3,1,1
215,-1.0108453,-1.0895941,5,5,0,0
216,-1.1477826,-1.148262,5,5,0,0
217,0.20223399,0.20598932,1,1,2,2
218,-0.21246575,-0.18836431,4,4,1,1
219,-1.5771571,-1.5314817,4,4,1,1
220,-0.44473574,-0.4773887,0,0,0,0
221,0.1667544,0.19092724,0,0,0,0
222,-0.5003638,-0.5005827,6,6,1,1
223,-0.42616925,-0.4630657,6,6,1,1
224,-0.5693826,-0.54573345,6,6,1,1
225,-0.6294132,-0.6202251,4,4,1,1
226,0.32473528,0.35669422,0,0,0,0
227,-1.5794684,-1.5614624,5,5,0,0
228,-0.35238564,-0.33590168,6,6,1,1
229,-0.22761916,-0.15859768,4,4,1,1
230,-0.56392086,-0.551122,6,6,1,1
231,-0.053287383,-0.07689783,6,6,1,1
232,-0.5542339,-0.47302598,1,1,2,2
233,-1.366423,-1.3806013,5,5,0,0
234,-0.43312997,-0.44080916,6,6,1,1
235,0.25536397,0.22046573,3,3,2,2
236,-0.42777842,-0.3916579,6,6,1,1
237,-0.21985964,-0.21734762,6,6,1,1
238,-0.49871004,-0.5095703,6,6,1,1
239,0.4308226,0.41649637,3,3,1,1
240,-0.5553478,-0.6075345,6,6,1,1
241,0.36880848,0.42203346,0,0,0,0
242,0.324783,0.3378477,3,3,1,1
243,-0.53331,-0.46558103,4,4,1,1
244,-0.35517332,-0.3350519,6,6,1,1
245,1.3290778,1.2570642,3,3,1,1
246,-0.27094445,-0.4584521,6,6,1,1
247,-1.2201899,-1.2077271,4,4,1,1
248,-1.1018375,-1.0525714,5,5,0,0
249,-0.0669159,0.011977702,4,4,1,1
250,-1.3884486,-1.4060856,5,5,0,0
251,-0.4205078,-0.43900383,6,6,1,1
252,0.82292336,0.8325577,2,2,0,0
253,-0.26606244,-0.19275397,3,3,2,2
254,-0.51374644,-0.49780446,1,1,2,2
255,-0.36440483,-0.34261355,6,6,1,1
256,-0.9871029,-0.8964573,4,4,1,1
257,0.26229736,0.2934414,3,3,2,2
258,-0.4445304,-0.49060583,3,3,1,1
259,0.18897319,0.15959224,3,3,2,2
260,0.47351894,0.5294535,3,3,1,1
261,-1.5939959,-1.5664588,4,4,1,1
262,-0.7443169,-0.739315,4,4,1,1
263,-1.0782609,-1.0804948,4,4,1,1
264,0.64454037,0.64289886,3,3,2,2
265,-0.64399374,-0.61854684,3,3,2,2
266,-0.32771635,-0.27168033,3,3,2,2
267,0.1252121,0.13595995,3,3,1,1
268,-0.52355367,-0.5286227,3,3,1,1
269,-1.3158419,-1.2477365,3,3,2,2
270,0.6719401,1.1494044,2,2,0,0
271,-0.7273673,-0.7891305,4,4,1,1
272,1.0583724,1.1025934,2,2,0,0
273,-1.9035053,-1.8238566,4,4,1,1
274,-0.46308222,-0.4567294,6,6,1,1
275,0.20997487,0.17342792,4,4,1,1
276,-1.4296339,-1.419291,4,4,1,1
277,-1.7142038,-1.6746193,4,4,1,1
278,-0.5220601,-0.3849766,6,6,1,1
279,0.23144667,0.2835586,3,3,1,1
280,0.6226619,0.67467517,3,3,2,2
281,-0.3267914,-0.3325938,6,6,1,1
282,-0.39274734,-0.38598943,6,6,1,1
283,-0.7051626,-0.6481503,4,4,1,1
284,0.1046214,0.1008767,3,3,2,2
285,-0.23502094,-0.1754052,0,0,0,0
286,1.2401963,1.282369,2,2,0,0
287,-1.2111526,-1.1861372,5,5,0,0
288,-1.4415648,-1.4685984,4,4,1,1
289,-0.1297056,-0.11052936,0,0,0,0
290,-0.39605188,-0.36344814,6,6,1,1
291,-0.10141901,-0.0865068,0,0,0,0
292,0.48050407,0.47735757,3,3,1,1
293,0.96818006,0.9968685,3,3,1,1
294,0.5498535,0.5481052,0,0,0,0
295,-0.1451561,-0.14777774,0,0,0,0
296,-0.28241327,-0.21537821,0,0,0,0
297,-0.36063513,-0.35749045,6,6,1,1
298,-0.60374177,-0.53424424,6,6,1,1
299,-0.50526893,-0.5285852,6,6,1,1
300,0.32922158,0.2883398,0,0,0,0
301,-0.30320588,-0.295875,3,3,2,2
302,-0.35291943,-0.3288615,6,6,1,1
303,0.95762783,0.97793376,2,2,0,0
304,-0.67960244,-0.6585946,6,6,1,1
305,-0.9058188,-0.88027525,5,5,0,0
306,-1.2168798,-1.2463422,5,5,0,0
307,0.1793842,0.1731691,3,3,1,1
308,0.20803833,0.20589577,3,3,1,1
309,-0.32133082,-0.25825632,0,0,0,0
310,-0.45767272,-0.4201203,0,0,0,0
311,0.29186055,0.27308407,3,3,2,2
312,-1.2730002,-1.3624595,3,3,2,2
313,-1.647091,-1.5596787,4,4,1,1
